,t_s,H_m,Qw_m3s,Ai_m2,todoy,iceon,tau,starth,gravelz,Hdl,His,Ta,Uw,rh,P,Ta_C,Hstar,Astar,Qstar,Tw_C,thawingdegreedays
127,1371600,0.0,0.0,0.0,151,274,14,0.5,0.5,194.2011125,0.0,-20.54,0.0,0.8109999999999999,99300.0,-20.54,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
128,1382400,0.0,0.0,0.0,151,274,14,0.5,0.5,193.51065,0.0,-21.3,0.0,0.807,99300.0,-21.3,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
129,1393200,0.0,0.0,0.0,151,274,14,0.5,0.5,192.8201875,0.0,-21.15,0.0,0.804,99300.0,-21.15,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
130,1404000,0.0,0.0,0.0,151,274,14,0.5,0.5,192.129725,0.0,-21.62,0.0,0.802,99300.0,-21.62,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
131,1414800,0.0,0.0,0.0,151,274,14,0.5,0.5,191.43926249999998,0.0,-19.89,0.0,0.8170000000000001,99100.0,-19.89,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
132,1425600,0.0,0.0,0.0,151,274,14,0.5,0.5,190.7488,1.0,-20.13,0.0,0.816,99100.0,-20.13,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
133,1436400,0.0,0.0,0.0,151,274,14,0.5,0.5,190.1745875,1.0,-20.0,0.0,0.815,99000.0,-20.0,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
134,1447200,0.0,0.0,0.0,151,274,14,0.5,0.5,189.60037499999999,0.0,-21.23,0.0,0.807,98900.0,-21.23,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
135,1458000,0.0,0.0,0.0,151,274,14,0.5,0.5,189.0261625,0.0,-21.31,0.0,0.8059999999999999,98900.0,-21.31,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
136,1468800,0.0,0.0,0.0,151,274,14,0.5,0.5,188.45195,0.0,-20.74,0.0,0.81,98700.0,-20.74,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
137,1479600,0.0,0.0,0.0,151,274,14,0.5,0.5,187.8777375,0.0,-20.8,0.0,0.809,98700.0,-20.8,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
138,1490400,0.0,0.0,0.0,151,274,14,0.5,0.5,187.303525,0.0,-21.08,0.0,0.8059999999999999,98600.0,-21.08,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
139,1501200,0.0,0.0,0.0,151,274,14,0.5,0.5,186.7293125,0.0,-21.21,0.0,0.807,98500.0,-21.21,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
140,1512000,0.0,0.0,0.0,151,274,14,0.5,0.5,186.1551,2.0,-21.44,0.0,0.804,98500.0,-21.44,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
